0,ID,Importance,std(importance),Uncertainty in importance,Source,Unit,Definition,Units
NOSC,8,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
delGcoxPerCmol,9,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
GFE,7,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
delGd0,22,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
delGd,21,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
lamO20,19,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
lamO2,20,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
AI_Mod,52,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
perc_ConHC,51,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
perc_Tannin,95,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
perc_Protein,88,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
perc_Lignin,69,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
DBE,132,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
perc_Lipid,93,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
delGcox0PerCmol,6,1.1635255718335018,0.5511667197704003,0.1837349145173219,Derived,,UNKNOWN,UNKNOWN
perc_Carb,129,1.1392660620660673,0.3093057335949771,0.2449009963968199,Derived,,UNKNOWN,UNKNOWN
C_percent,37,1.1251914689802178,0.38767269734567905,0.1977752040084542,Derived,,UNKNOWN,UNKNOWN
N_percent,38,1.1251914689802178,0.38767269734567905,0.1977752040084542,Derived,,UNKNOWN,UNKNOWN
NPOC_Field_mg_per_L_as_C,111,1.1084677211337535,0.27836954192982666,0.7468077805785311,Derived,,UNKNOWN,UNKNOWN
pre_mm_uyr,64,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,mm,Annual avg. precipiation over all upstream watershed,nan
pre_mm_cyr,65,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,mm,Annual avg. precipitation over reach catchment,nan
run_mm_cyr,131,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,mm/year,Annual avg. land surface runoff over reach catchment,nan
cmi_ix_uyr,59,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,non-dim.,Annual avg. climate moisture index over all upstream watershed,nan
swc_pc_uyr,58,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,percent,Annual avg. soil water content over all upstream watershed,nan
aet_mm_uyr,34,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,mm,Annual avg. actual evap. over all upstream watershed,nan
aet_mm_cyr,33,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,mm,Annual avg. actual evapotranspiration over reach catchment,nan
aet_mm_cdi,68,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,mm,Range of annual min and max actual evap. over reach catchment derived from RA data,nan
swc_pc_cyr,66,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,percent,Annual avg. soil water content over reach catchment,nan
prm_pc_use,28,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,percent,Permafrost extent over all upstream watershed,nan
tmp_dc_cyr,45,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,deg. C,Annual avg. air temp. over reach catchment,nan
RA_lat,12,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,degrees,closest RiverAtlas site coordinates,nan
snw_pc_cyr,48,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,percent,Annual avg. snow cover extent over reach,nan
snw_pc_uyr,47,1.0987124001569584,0.41292818395644615,1.6618215155817968,RiverAtlas,percent,Annual avg. snow cover extent over all upstream watershed,nan
