,target,predicted
0,-3.91,-67.62856710191096
1,-24.54,-148.36830862429412
2,-50.95,-177.05369836385398
3,-1011.81,-1131.2256809724136
4,-2.85,-79.7998867512212
5,-4.84,-71.98628923255194
6,-15.34,-123.21270351104954
7,-22.89,-103.0099084162746
8,-16.74,-89.73200239705457
9,-7.46,-76.80161449743754
10,-38.08,-232.77037181767417
11,-19.2,-118.05657357992729
12,-41.22,-115.3943071149875
13,-3.09,-73.82132457478193
14,-82.36,-243.58650432737323
15,-9.45,-80.4067725504583
16,-37.03,-269.2306398712084
17,-16.41,-87.91098551712645
18,-2260.74,-2365.9935695322274
19,-11.67,-95.17213802556503
20,-16.99,-105.10348140648452
21,-8.26,-113.22031829474929
22,-5.77,-74.82286206098871
23,-79.59,-167.33099253583342
24,-1.15,-63.67817528144538
25,-1.67,-73.49438041220463
26,-2.7,-67.2075897844949
27,-35.76,-164.4326578711428
28,-1.78,-64.54082469840033
29,-2741.44,-2917.8066840629426
30,-33.33,-119.65527319368124
31,-3.59,-78.7070282411413
32,-10.64,-85.9634291003911
33,-5.17,-72.52192983979806
34,-2.46,-67.34955305596218
35,-2727.43,-2519.7853995662313
36,-4.81,-83.55194909539516
37,-17.33,-147.99534138947877
38,-12.16,-114.10368610602231
39,-1788.7,-2322.8225657922303
40,-1.29,-76.11131686878926
41,-4.97,-68.14395297566509
42,-2907.84,-4087.815419141506
43,-22.83,-95.46181716662419
44,-16.54,-96.85392704334924
45,-21.22,-103.94571710769485
46,-3.11,-70.13196860626655
47,-2260.74,-2476.541379113503
48,-0.75,-62.939014309944604
49,-1.84,-65.5262345123473
50,-3.97,-90.42374044433035
51,-17.53,-155.425350450373
52,-97.9,-329.12198924765306
53,-23.78,-149.0063558664884
54,-4.62,-77.06346244701567
55,-48.59,-133.95089769517102
56,-15.13,-105.4649101694031
57,-7.46,-76.80161449743754
58,-29.12,-160.60865293139068
59,-0.77,-65.53801561922421
60,-3.46,-70.60339887259128
61,-0.87,-66.37215166095453
62,-7.46,-76.80161449743754
63,-60.88,-235.19029226612486
64,-1.3,-63.78746880957961
65,-3.21,-75.93801958494977
66,-4.81,-90.78194281493057
67,-18.6,-99.47816955428691
68,-1185.05,-1459.7222375212828
69,-17.66,-124.93162979892591
70,-2420.08,-2368.5643358952434
71,-1.4,-63.89326687009131
72,-29.51,-155.00348784215345
73,-10.36,-103.93232332226472
74,-10.78,-82.6420865304483
75,-1515.51,-1656.5507756297015
76,-42.8,-199.66334077872096
77,-35.1,-182.33319958520755
78,-24.29,-117.21558370444644
79,-14.69,-102.18612841392971
80,-16.41,-87.91098551712645
81,-7.48,-79.13956059685287
82,-12.66,-84.11403442196573
83,-73.45,-285.90115087820004
84,-88.82,-172.89302593654793
85,-21.96,-95.74088096970578
86,-9.4,-88.72705658636966
87,-2.71,-86.63769491972808
88,-1482.57,-2026.09592698705
89,-4.55,-77.92734175651992
90,-4.24,-84.73519531820835
91,-16.41,-87.36199804446579
92,-3.73,-69.11758700175056
93,-2.89,-72.37836929263426
94,-19.87,-157.44296655919845
95,-19.4,-269.02216840941475
96,-47.08,-138.71263346770934
97,-61.3,-134.30001452534046
98,-1694.52,-1812.6926330213842
99,-3.99,-66.9284875444351
100,-3.79,-96.04728503446671
101,-1953.6,-2139.3738978692145
102,-1806.3,-2531.9541828106676
103,-2610.28,-2965.6508053843518
104,-3.65,-69.80646304133356
105,-47.48,-149.14009661105436
106,-3.18,-107.82879685199613
107,-50.32,-221.07799081439117
108,-5.57,-91.55314529332225
109,-1138.3,-1329.044932980711
110,-1.68,-65.21685136556712
111,-58.67,-244.23704411073723
112,-9.12,-119.03827389150203
113,-7.5,-76.72851564612827
114,-15.42,-85.29519681304735
115,-23.85,-381.13539090803727
116,-5.0,-68.75356164484111
117,-2086.43,-2384.328944436117
118,-2.08,-66.90792661133862
119,-47.19,-154.36168911056285
120,-33.5,-124.51023461228576
121,-29.33,-253.79808940372112
122,-2738.74,-2854.790893953846
123,-110.45,-454.1983008041475
124,-20.32,-109.37541973526494
125,-10.71,-121.57554251118876
126,-3.32,-66.4972718212891
127,-1.45,-73.33397340613594
128,-79.25,-274.0087920321223
129,-74.17,-309.40388648318566
130,-991.01,-1064.5138511452903
131,-1.55,-64.77659892036498
132,-34.83,-261.37101312596735
133,-4.29,-96.47695582760093
134,-8.65,-81.32484616663878
135,-1739.12,-2438.2828803986395
136,-35.52,-180.14280928608605
137,-33.71,-198.25079715488926
138,-1752.9,-1978.1576285881938
139,-1918.37,-3041.1839086082264
140,-11.18,-114.46405979506144
141,-15.66,-93.20207052911066
142,-7.46,-76.80161449743754
143,-4.28,-72.80554858407777
144,-82.62,-165.78287968245868
145,-7.06,-84.95152520375771
146,-1413.77,-1389.2877805088272
147,-13.09,-140.4834066396494
148,-1841.16,-2605.061558381424
149,-1.25,-63.56146504356675
150,-20.06,-136.81454929659276
151,-43.06,-125.84469753794673
152,-2260.74,-2476.541379113503
153,-47.16,-277.1296986578482
154,-24.5,-154.18077446679695
155,-2505.5,-2492.4384685865884
156,-2.71,-72.55099872183217
157,-1.72,-66.84136835550825
158,-31.19,-152.03988037314224
159,-2675.86,-3794.780442602039
160,-11.52,-79.96089997011035
161,-1388.85,-1450.6859497776038
162,-2.41,-69.21915980995921
163,-14.92,-160.42276797705438
164,-26.93,-198.7919127900161
165,-77.62,-246.1967495612821
166,-3.94,-67.775075075537
167,-1531.16,-1655.570833043747
168,-8.0,-77.50984342850086
169,-2.21,-82.36607583271154
170,-16.41,-87.36199804446579
171,-19.26,-147.2421818634388
172,-988.01,-1604.4013317118183
173,-1575.97,-1488.0911549662248
