C_percent,MiniDot_Sediment_-1hot-_Bedrock (primarily),MiniDot_Sediment_-1hot-_Gravel/cobble (>2mm),MiniDot_Sediment_-1hot-_Sand,MiniDot_Sediment_-1hot-_Silt/mud (<0.0625mm),NOSC,NPOC_Field_mg_per_L_as_C,Percent_Fine_Sand,River_Gradient_-1hot-_Relatively flat/gentle gradient (e.g. valleys),River_Gradient_-1hot-_Relatively steep gradient (e.g. mountainous or hilly terrain),lamO2,perc_Carb,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment
0.19,0.0,0.0,1.0,0.0,-0.6176887,6.79,19.1,1.0,0.0,0.04768359,0.03242009,-5.0
4.7,0.0,1.0,0.0,0.0,-0.6282694,6.38,18.4,1.0,0.0,0.04452152,0.038628303,-9.12
0.42,0.0,0.0,1.0,0.0,-0.5429468,39.33,3.2,0.0,1.0,0.04867457,0.027655102,-33.33
0.22,0.0,0.0,1.0,0.0,-0.5516907,4.94,38.5,1.0,0.0,0.04656398,0.04198153,-12.94
0.38,0.0,1.0,0.0,0.0,-0.61011726,5.22,14.3,1.0,0.0,0.04200757,0.026796974,-1.77
0.48,0.0,1.0,0.0,0.0,-0.52087224,17.0,12.5,1.0,0.0,0.04910023,0.018788163,-7.06
0.22,0.0,1.0,0.0,0.0,-0.57583845,10.47,10.4,0.0,1.0,0.047034062,0.032702915,-1.25
0.86,0.0,1.0,0.0,0.0,-0.5534186,9.24,15.6,1.0,0.0,0.049261443,0.028604118,-47.48
0.85,0.0,1.0,0.0,0.0,-0.6027984,6.34,12.9,0.0,1.0,0.047219783,0.02948058,-1.84
0.78,0.0,1.0,0.0,0.0,-0.5956234,13.41,7.2,0.0,1.0,0.048190057,0.035899654,-6.06
2.8,0.0,1.0,0.0,0.0,-0.53411525,12.78,4.4,1.0,0.0,0.04945492,0.024437549,-11.12
1.0,0.0,1.0,0.0,0.0,-0.5264989,22.13,4.3,0.0,1.0,0.0486496,0.020633752,-46.77
0.53,0.0,0.0,1.0,0.0,-0.45883366,12.36,12.9,1.0,0.0,0.051185865,0.030524505,-18.6
1.32,0.0,0.0,1.0,0.0,-0.5429468,17.296045,22.2,0.0,1.0,0.04867457,0.027655102,-16.41
0.55,1.0,0.0,0.0,0.0,-0.45728812,11.73,5.4,0.0,1.0,0.049102142,0.017901748,-3.11
1.88,0.0,1.0,0.0,0.0,-0.5794805,30.18,62.3,1.0,0.0,0.044523604,0.013930951,-47.19
0.21,0.0,0.0,1.0,0.0,-0.56708175,9.88,10.0,1.0,0.0,0.047994632,0.031496063,-4.81
0.64,0.0,1.0,0.0,0.0,-0.49907872,8.6,13.5,0.0,1.0,0.04805389,0.02819308,-1.78
5.95,0.0,1.0,0.0,0.0,-0.5467004,31.55,52.9,0.0,1.0,0.051095843,0.02434543,-110.45
0.47,0.0,0.0,0.0,1.0,-0.528227,14.93,56.1,1.0,0.0,0.050723225,0.01847575,-2420.08
0.27,0.0,1.0,0.0,0.0,-0.42664936,8.54,17.2,0.0,1.0,0.044648144,0.024366472,-21.63
