AI_Mod,C_percent,DBE,GFE,MiniDot_Sediment_-1hot-_Bedrock (primarily),MiniDot_Sediment_-1hot-_Gravel/cobble (>2mm),MiniDot_Sediment_-1hot-_Sand,MiniDot_Sediment_-1hot-_Silt/mud (<0.0625mm),NOSC,NPOC_Field_mg_per_L_as_C,N_percent,Percent_Fine_Sand,RA_ms_di,River_Gradient_-1hot-_Relatively flat/gentle gradient (e.g. valleys),River_Gradient_-1hot-_Relatively steep gradient (e.g. mountainous or hilly terrain),delGcox0PerCmol,delGcoxPerCmol,delGd,delGd0,hft_ix_c09,hft_ix_u09,lamO2,lamO20,nli_ix_cav,nli_ix_uav,perc_Carb,perc_ConHC,perc_Lignin,perc_Lipid,perc_Protein,perc_Tannin,pre_mm_uyr,urb_pc_cse,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment
0.13540564,0.19,6.2449584,80.781006,0.0,1.0,0.0,0.0,-0.71863186,16.71,0.09,6.9,1.2829067,1.0,0.0,80.781006,-148.25441,-3056.2747,1689.5659,63.0,26.0,0.043093886,0.048286654,755.0,300.0,0.029513035,0.048204623,0.22479095,0.15789473,0.39006394,0.019183472,594.0,0.0,-7.48
0.1917294,1.88,6.9824347,76.81519,0.0,1.0,0.0,0.0,-0.5794805,30.18,0.11,62.3,0.5145717,1.0,0.0,76.81519,-146.83862,-2972.0625,1584.0066,16.0,16.0,0.044523604,0.05039014,15.0,0.0,0.013930951,0.08237432,0.33010298,0.17928529,0.24651726,0.087219864,303.0,0.0,-47.19
0.14666742,3.03,6.3102145,80.08173,0.0,1.0,0.0,0.0,-0.69409585,8.65,0.08,8.8,1.66246,1.0,0.0,80.08173,-147.42812,-2937.5198,1628.7225,342.0,232.0,0.046490517,0.051949006,4064.0,2800.0,0.031105507,0.045397226,0.21773854,0.13324927,0.37704918,0.01891551,971.0,5.0,-5.57
0.19770688,0.48,6.9741664,75.14486,0.0,1.0,0.0,0.0,-0.52087224,17.0,0.08,12.5,0.49185154,1.0,0.0,75.14486,-145.63873,-2821.1335,1491.6107,243.0,244.0,0.04910023,0.055479854,3110.0,3100.0,0.018788163,0.10709253,0.24424613,0.14795679,0.30483794,0.06622828,1137.0,0.0,-7.06
0.16444886,2.23,6.033316,79.11909,1.0,0.0,0.0,0.0,-0.6603188,32.18,0.13,18.7,0.881621,1.0,0.0,79.11909,-147.10349,-2725.6567,1500.2369,75.0,69.0,0.050312877,0.05644359,202.0,200.0,0.030192608,0.07912546,0.2217595,0.17595002,0.34357107,0.024986986,1001.0,0.0,-1739.12
0.15785278,2.58,6.1861234,79.87141,0.0,1.0,0.0,0.0,-0.68671596,17.34,0.18,21.3,0.74152076,0.0,1.0,79.87141,-147.74327,-2850.2053,1568.4785,111.0,111.0,0.047172304,0.052922502,1711.0,1700.0,0.02092511,0.059471365,0.24284141,0.17345814,0.33810574,0.025881058,1527.0,0.0,-8.99
0.18177567,0.61,6.838198,75.77399,0.0,1.0,0.0,0.0,-0.5429468,23.76,0.15,11.6,0.43223512,0.0,1.0,75.77399,-145.99971,-2836.4902,1501.3151,57.0,57.0,0.048674565,0.054889433,544.0,500.0,0.027655102,0.08138479,0.2801666,0.120609276,0.31040132,0.056629162,691.0,0.0,-12.66
0.17423537,5.17,6.6236277,75.026665,0.0,1.0,0.0,0.0,-0.5167251,21.16,0.11,13.9,0.518435,1.0,0.0,75.026665,-145.67334,-2776.6306,1467.759,63.0,63.0,0.051051594,0.05771113,690.0,700.0,0.053140096,0.077294685,0.2621871,0.11594203,0.304787,0.056214318,866.0,0.0,-1752.9
0.16960648,0.59,6.7674537,77.76717,0.0,1.0,0.0,0.0,-0.6128833,9.99,0.11,10.2,2.4226305,1.0,0.0,77.76717,-146.84093,-2974.138,1618.2158,61.0,34.0,0.04712043,0.053179756,755.0,300.0,0.029774128,0.074435316,0.23408625,0.13809034,0.33675563,0.035420943,627.0,0.0,-3.99
0.18177567,0.25,6.838198,75.77399,0.0,0.0,1.0,0.0,-0.5429468,8.19,0.08,6.9,0.13976024,1.0,0.0,75.77399,-145.99971,-2836.4902,1501.3151,337.0,337.0,0.048674565,0.054889433,6300.0,6300.0,0.027655102,0.08138479,0.2801666,0.120609276,0.31040132,0.056629162,1114.0,92.0,-3.46
