,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
prm_pc_use,1.0640423713553946,1.0040396492935026,0.9999902808204634,1.0000131338397669,1.1804349645692511,1.1111131838996795,1.114007793717312,1.2448480844197476,0.9976641872913868,1.0210132752321843
prm_pc_cse,1.0640423713553946,1.0040396492935026,0.9999902808204634,1.0000131338397669,1.1804349645692511,1.1111131838996795,1.114007793717312,1.2448480844197476,0.9976641872913868,1.0210132752321843
kar_pc_cse,1.3577136709294786,1.107725785551721,1.1518712695252156,1.1015379004315689,2.016436009050063,1.5542919322826727,2.188476748223365,2.0716999285751965,1.0334561046921362,1.4700405311261977
kar_pc_use,1.3577136709294786,1.107725785551721,1.1518712695252156,1.1015379004315689,2.016436009050063,1.5542919322826727,2.188476748223365,2.0716999285751965,1.0334561046921362,1.4700405311261977
soc_th_cav,1.4781087194554192,1.142328221369035,1.2359746336958328,1.7621011134163374,1.809194874066716,1.4966944871212688,2.1627535371242823,1.646433305800133,1.3964889719571238,1.2975269468848003
soc_th_uav,1.4781087194554192,1.142328221369035,1.2359746336958328,1.7621011134163374,1.809194874066716,1.4966944871212688,2.1627535371242823,1.646433305800133,1.3964889719571238,1.2975269468848003
RA_xam2,1.7278357844639187,2.218299443019834,1.8404277312609816,1.6598708741193025,1.9789574547049504,1.7817319685219208,2.6643066161174365,5.382258941306238,1.6830261864927216,1.739238438069905
RA_cms_cyr,1.7278357844639187,2.218299443019834,1.8404277312609816,1.6598708741193025,1.9789574547049504,1.7817319685219208,2.6643066161174365,5.382258941306238,1.6830261864927216,1.739238438069905
RA_cms_cmx,1.7278357844639187,2.218299443019834,1.8404277312609816,1.6598708741193025,1.9789574547049504,1.7817319685219208,2.6643066161174365,5.382258941306238,1.6830261864927216,1.739238438069905
RA_cms_cmn,1.7278357844639187,2.218299443019834,1.8404277312609816,1.6598708741193025,1.9789574547049504,1.7817319685219208,2.6643066161174365,5.382258941306238,1.6830261864927216,1.739238438069905
RA_dm,1.7278357844639187,2.218299443019834,1.8404277312609816,1.6598708741193025,1.9789574547049504,1.7817319685219208,2.6643066161174365,5.382258941306238,1.6830261864927216,1.739238438069905
gdp_md_usu,1.7278357844639187,2.218299443019834,1.8404277312609816,1.6598708741193025,1.9789574547049504,1.7817319685219208,2.6643066161174365,5.382258941306238,1.6830261864927216,1.739238438069905
pop_ct_usu,1.7278357844639187,2.218299443019834,1.8404277312609816,1.6598708741193025,1.9789574547049504,1.7817319685219208,2.6643066161174365,5.382258941306238,1.6830261864927216,1.739238438069905
RA_SO,1.7278357844639187,2.218299443019834,1.8404277312609816,1.6598708741193025,1.9789574547049504,1.7817319685219208,2.6643066161174365,5.382258941306238,1.6830261864927216,1.739238438069905
tmp_dc_cyr,2.1618219140022257,1.3419654314139202,1.2043847755855357,1.2941382768924663,2.534740384520481,2.8913198847785653,3.5079791071215918,3.1358681849165557,1.1650643629142072,1.8863232460880008
tmp_dc_uyr,2.1618219140022257,1.3419654314139202,1.2043847755855357,1.2941382768924663,2.534740384520481,2.8913198847785653,3.5079791071215918,3.1358681849165557,1.1650643629142072,1.8863232460880008
snw_pc_uyr,2.1618219140022257,1.3419654314139202,1.2043847755855357,1.2941382768924663,2.534740384520481,2.8913198847785653,3.5079791071215918,3.1358681849165557,1.1650643629142072,1.8863232460880008
snw_pc_cyr,2.1618219140022257,1.3419654314139202,1.2043847755855357,1.2941382768924663,2.534740384520481,2.8913198847785653,3.5079791071215918,3.1358681849165557,1.1650643629142072,1.8863232460880008
snw_pc_cmx,2.1618219140022257,1.3419654314139202,1.2043847755855357,1.2941382768924663,2.534740384520481,2.8913198847785653,3.5079791071215918,3.1358681849165557,1.1650643629142072,1.8863232460880008
crp_pc_use,1.5650323191633193,1.6669950914817082,1.1263454139157505,1.4840613889939056,2.305662178056002,1.868753400645529,2.302503613567272,3.1465595943855345,1.0331934847555946,1.5862258357688526
crp_pc_cse,1.5650323191633193,1.6669950914817082,1.1263454139157505,1.4840613889939056,2.305662178056002,1.868753400645529,2.302503613567272,3.1465595943855345,1.0331934847555946,1.5862258357688526
aet_mm_cyr,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
aet_mm_uyr,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
pre_mm_cyr,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
cmi_ix_cyr,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
swc_pc_cyr,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
aet_mm_cdi,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
run_mm_cyr,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
cmi_ix_uyr,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
pre_mm_uyr,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
swc_pc_uyr,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
pre_mm_cdi,3.026264721846352,3.0040559899794084,2.944796104112666,2.434879596173731,6.290123182825561,4.636931041665174,4.450569987450908,4.607118613589854,2.439431380555983,3.0163685867694445
for_pc_cse,1.4441988868474571,1.6207402913680589,1.0227799998733706,1.2323821370813413,2.7103344203085724,1.901232347532199,3.0708624945417453,6.710096433352179,0.9947688548182826,1.7439245085616863
for_pc_use,1.4441988868474571,1.6207402913680589,1.0227799998733706,1.2323821370813413,2.7103344203085724,1.901232347532199,3.0708624945417453,6.710096433352179,0.9947688548182826,1.7439245085616863
nli_ix_cav,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
hft_ix_c09,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
ppd_pk_cav,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
urb_pc_cse,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
rdd_mk_cav,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
rdd_mk_uav,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
urb_pc_use,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
ppd_pk_uav,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
hft_ix_u09,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
nli_ix_uav,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
pop_ct_csu,2.069147141170576,2.094153888811611,3.1898130859708056,1.639303559093182,2.745461694276306,2.998618556237445,2.966299954345225,2.773743504254293,1.22265473390484,2.4873659537594155
ero_kh_cav,1.931715456922865,1.2799240785676984,1.591326961506177,1.13960262202092,4.333392864677788,3.661761281809336,2.510586185974085,3.5020566642645545,0.9949888725344278,1.551462554795069
ero_kh_uav,1.931715456922865,1.2799240785676984,1.591326961506177,1.13960262202092,4.333392864677788,3.661761281809336,2.510586185974085,3.5020566642645545,0.9949888725344278,1.551462554795069
