Sample_ID,Sample_Longitude,Sample_Latitude,Normalized_Respiration_Rate_mg_DO_per_H_per_L_sediment,mean.error,predict.error,pca.dist,mean.error.scaled,pca.dist.scaled,combined.metric
S19S_0006-D,-76.717163,39.311369,-1216.5861249599059,386.75418146947425,1329.798440074392,6.067764316101408,0.304614188464439,0.5389047377320664,0.1641580293438947
S19S_0006-M,-76.717316,39.31162,-85.80408121261239,199.59109156857016,1276.3658050367228,4.865851656050097,0.17108440084046372,0.4321576076362216,0.07393542537109114
S19S_0006-U,-76.717476,39.311813,-149.04311555845146,189.11597963062803,1274.7454315739258,5.336179988682826,0.16167963241033004,0.47392952782646597,0.07662475184738426
S19S_0008-M,-119.02828100000002,36.961369,-92.5103348023342,198.30347052036325,1276.1362020947531,5.820198100227885,0.16949204065877638,0.5169172972702455,0.08761336756615323
S19S_0009-U,-108.3982,42.9875,-145.52150410507568,191.77159200805403,1275.172117502991,5.135154690746875,0.1648574219489642,0.456075590228031,0.07518744601884537
S19S_0010-D,-81.840062,31.667875,-74.44235641706467,201.71640249142757,1276.7026714755477,5.323709066807604,0.17308570337448662,0.47282193060740296,0.08183871643006499
S19S_0010-M,-81.839976,31.667835000000004,-94.43142426476314,197.26569610936997,1276.0062806853996,5.859587731288072,0.1692773084676314,0.5204156630092582,0.0880945627186051
S19S_0010-U,-81.8403,31.667905,-118.28381820573017,192.7736856000572,1275.2954592012882,5.042086869607174,0.16522232788258337,0.4478098292113259,0.07398818243099733
S19S_0011-D,-83.437674,33.955686,-840.7880390612323,280.9485192848601,1304.5824475161774,6.719132451745746,0.22361520093189352,0.5967555961404849,0.13344362253818642
S19S_0011-M,-83.438589,33.957827,-2059.649143570317,615.5745106120305,1429.690334374783,6.13991694078014,0.5039000320625361,0.5453129285011098,0.27478320215582464
S19S_0011-U,-83.437673,33.95569,-384.1538166995776,189.6362305581766,1275.403498863224,6.262264974983286,0.16463464938146413,0.5561791935452741,0.09156636652259166
S19S_0012-D,-72.33027,42.47179,-56.49903453787442,206.67603853462305,1277.5057395421197,5.465050068799946,0.17714514432659917,0.485375044347722,0.08598183228350664
S19S_0012-M,-72.33038,42.47157,-96.40380625352974,199.26901248493954,1276.3044906047082,7.863022968176213,0.17041954563355022,0.6983495254095163,0.11901240881369517
S19S_0014-D,-77.9808,39.0941,-2261.9978756797655,722.2970659188605,1459.9664303798882,6.186650347430438,0.5867750224175687,0.5494635271305547,0.3224114734496676
S19S_0014-M,-77.9812,39.0942,-2340.619653209159,789.4306027243217,1535.7351465098036,5.567295483770359,0.6140398084832908,0.4944559076885612,0.30361561086051575
S19S_0014-U,-77.9815,39.0944,-569.1038331340776,205.97596077053518,1278.3510393499641,7.228986554750196,0.1764900782287712,0.6420379731985589,0.11331333211565535
