,FPI_Ratio_0,FPI_Ratio_1,FPI_Ratio_2,FPI_Ratio_3,FPI_Ratio_4,FPI_Ratio_5,FPI_Ratio_6,FPI_Ratio_7,FPI_Ratio_8,FPI_Ratio_9
Hydrogeomorphology_-1hot-_Multi-channel,1.026093537455386,1.1805400190354889,1.072368020710722,1.1462495506725057,1.0776522352049829,1.1450749362919703,1.0986299362070509,1.2918238496877157,1.051125553601989,1.0177215969928963
Hydrogeomorphology_-1hot-_Single-channel meandering,1.026093537455386,1.1805400190354889,1.072368020710722,1.1462495506725057,1.0776522352049829,1.1450749362919703,1.0986299362070509,1.2918238496877157,1.051125553601989,1.0177215969928963
Hydrogeomorphology_-1hot-_Single-channel straight,1.026093537455386,1.1805400190354889,1.072368020710722,1.1462495506725057,1.0776522352049829,1.1450749362919703,1.0986299362070509,1.2918238496877157,1.051125553601989,1.0177215969928963
MiniDot_Sediment_-1hot-_Bedrock (primarily),1.1271369574032226,1.353027477009837,1.0368513803781454,1.123897232343629,1.19277693955212,1.1844645604206432,1.142368321467941,1.3074298599731915,1.1533402886622754,1.1254769036545775
MiniDot_Sediment_-1hot-_Gravel/cobble (>2mm),1.1271369574032226,1.353027477009837,1.0368513803781454,1.123897232343629,1.19277693955212,1.1844645604206432,1.142368321467941,1.3074298599731915,1.1533402886622754,1.1254769036545775
MiniDot_Sediment_-1hot-_Sand,1.1271369574032226,1.353027477009837,1.0368513803781454,1.123897232343629,1.19277693955212,1.1844645604206432,1.142368321467941,1.3074298599731915,1.1533402886622754,1.1254769036545775
MiniDot_Sediment_-1hot-_Silt/mud (<0.0625mm),1.1271369574032226,1.353027477009837,1.0368513803781454,1.123897232343629,1.19277693955212,1.1844645604206432,1.142368321467941,1.3074298599731915,1.1533402886622754,1.1254769036545775
gla_pc_cse,1.1271369574032226,1.353027477009837,1.0368513803781454,1.123897232343629,1.19277693955212,1.1844645604206432,1.142368321467941,1.3074298599731915,1.1533402886622754,1.1254769036545775
Intermittent_or_Perennial_-1hot-_Intermittent,1.0123494179401131,1.069857281554888,1.0228775005151751,1.043091865976438,1.0433199832147826,1.0413427137192484,1.0306473285466642,1.0955672334487914,1.081937835595411,1.0266154651749295
Intermittent_or_Perennial_-1hot-_Perennial,1.0123494179401131,1.069857281554888,1.0228775005151751,1.043091865976438,1.0433199832147826,1.0413427137192484,1.0306473285466642,1.0955672334487914,1.081937835595411,1.0266154651749295
Total_Bacteria_cells_per_gram,1.0541189603124952,1.077030898367759,1.0555992569977293,1.041173766387665,1.0993712379523437,1.0661988369839526,1.1075527801518386,1.1252065805361942,1.0325654886555624,1.0428236653781835
Total_Heterotrophs_cells_per_gram,1.0541189603124952,1.077030898367759,1.0555992569977293,1.041173766387665,1.0993712379523437,1.0661988369839526,1.1075527801518386,1.1252065805361942,1.0325654886555624,1.0428236653781835
pac_pc_cse,1.0164900658466949,1.094307665560444,1.0157417412246943,1.014124625546361,1.0334934091781287,1.0864840091565626,1.0454171961061611,1.1764871573123512,0.9920815340972992,0.9991164759787224
pac_pc_use,1.0164900658466949,1.094307665560444,1.0157417412246943,1.014124625546361,1.0334934091781287,1.0864840091565626,1.0454171961061611,1.1764871573123512,0.9920815340972992,0.9991164759787224
ero_kh_uav,1.0123618886168009,1.0823418088601318,1.03738233747321,1.0194435786129536,1.0629873943480022,1.084863314968914,1.0372398221909838,1.088067683776374,1.0446775999640148,1.0535984405515422
ero_kh_cav,1.0123618886168009,1.0823418088601318,1.03738233747321,1.0194435786129536,1.0629873943480022,1.084863314968914,1.0372398221909838,1.088067683776374,1.0446775999640148,1.0535984405515422
skew_lamO20,1.0851160119546168,1.1149362963160236,1.0097062244986743,1.0515329909139643,1.1548234763193717,1.1312260974319928,1.10200719645888,1.146405502333627,1.0711898300996023,1.0811265494152822
skew_lamO2,1.0851160119546168,1.1149362963160236,1.0097062244986743,1.0515329909139643,1.1548234763193717,1.1312260974319928,1.10200719645888,1.146405502333627,1.0711898300996023,1.0811265494152822
AI,1.037050197012118,1.0578749141160058,0.9914199724000884,1.0282657500445442,1.04546709291823,1.1006038851855933,1.0547677095948835,1.1288430526236597,1.0214764940668437,1.0198555338032984
