Sample_ID,Sample_Longitude,Sample_Latitude,Mean_DO_mg_per_L,Mean_DO_percent_saturation,Mean_Temp_Deg_C,pH,Water_Depth_cm,Canopy_Cover,Macrophyte_Coverage,Algal_Mat_Coverage,AI,AI_Mod,DBE,DBE_O,GFE,NOSC,delGcox0PerCmol,delGcoxPerCmol,lamO20,lamO2,delGd0,delGd,n_chems,skew_lamO20,skew_lamO2,perc_AminoSugar,perc_Carb,perc_ConHC,perc_Lignin,perc_Lipid,perc_Other,perc_Protein,perc_Tannin,perc_UnsatHC,del_15N_permil,del_13C_permil,NPOC_INC_mg_per_L_as_C,NPOC_Field_mg_per_L_as_C,Percent_Fine_Sand,Percent_Med_Sand,Percent_Coarse_Sand,Percent_Tot_Sand,Percent_Clay,Percent_Silt,Total_Bacteria_cells_per_gram,Total_Photorophs_cells_per_gram,Total_Heterotrophs_cells_per_gram,C_percent,N_percent,Intermittent_or_Perennial_-1hot-_Intermittent,Intermittent_or_Perennial_-1hot-_Perennial,General_Vegetation_-1hot-_Broadleaf deciduous tree,General_Vegetation_-1hot-_Broadleaf deciduous tree. Crop,General_Vegetation_-1hot-_Broadleaf deciduous tree. Grass,General_Vegetation_-1hot-_Broadleaf deciduous tree. Shrub,General_Vegetation_-1hot-_Broadleaf evergreen tree,General_Vegetation_-1hot-_Broadleaf evergreen tree. Broadleaf deciduous tree,General_Vegetation_-1hot-_Grass,General_Vegetation_-1hot-_Needleleaf deciduous tree. Broadleaf deciduous tree,General_Vegetation_-1hot-_Needleleaf deciduous tree. Grass,General_Vegetation_-1hot-_Needleleaf evergreen tree,General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf deciduous tree,General_Vegetation_-1hot-_Needleleaf evergreen tree. Broadleaf evergreen tree,General_Vegetation_-1hot-_Needleleaf evergreen tree. Grass,General_Vegetation_-1hot-_Needleleaf evergreen tree. Shrub,General_Vegetation_-1hot-_Shrub,General_Vegetation_-1hot-_Shrub. Grass,Hydrogeomorphology_-1hot-_Multi-channel,Hydrogeomorphology_-1hot-_Single-channel meandering,Hydrogeomorphology_-1hot-_Single-channel straight,River_Gradient_-1hot-_Relatively flat/gentle gradient (e.g. valleys),River_Gradient_-1hot-_Relatively steep gradient (e.g. mountainous or hilly terrain),MiniDot_Sediment_-1hot-_Bedrock (primarily),MiniDot_Sediment_-1hot-_Gravel/cobble (>2mm),MiniDot_Sediment_-1hot-_Sand,MiniDot_Sediment_-1hot-_Silt/mud (<0.0625mm),Depositional_Type_-1hot-_Downstream from obstacles,Depositional_Type_-1hot-_Downstream of small tributary,Depositional_Type_-1hot-_Inside bend of a stream,Depositional_Type_-1hot-_Marsh,Depositional_Type_-1hot-_Pool lip,Depositional_Type_-1hot-_Riffle,Depositional_Type_-1hot-_Shallow waters near the shore,Depositional_Type_-1hot-_Upstream of weir barrier deposition,Depositional_Type_-1hot-_run edge
S19S_0006-D,-76.717163,39.311369,,,25.7,7.5,6.0,3.0,1.0,2.0,0.0861478302332195,0.1875421761152824,6.757299962078119,-0.7061054228289723,73.99408398496512,-0.4804941749078499,73.99408398482956,-145.09483643678865,0.0586159457096682,0.0518313077608875,1419.0337883959046,-2719.7571179860947,2637.0,1.9033589855968824,1.5640453277303288,0.0822904816078877,0.0364050056882821,0.0860826697004171,0.3124762988244217,0.1020098596890405,0.0166856276071293,0.2840348881304512,0.0504361016306408,0.0295790671217292,1.77,-12.09,4.27,5.96,10.7,15.9,66.5,93.1,3.8,3.1,887000000.0,12900000.0,874000000.0,0.35,0.08,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
S19S_0006-M,-76.717316,39.31162,,,25.7,7.5,10.0,1.0,1.0,2.0,0.0843175149605323,0.1708813557163837,6.645250114731528,-0.6865534648921524,76.65073039629141,-0.5737098384580083,76.65073039617404,-146.3263697757032,0.0549139864896161,0.0487958137098193,1487.8295548416706,-2790.568811055908,2179.0,1.7022174522078628,1.5901693676709203,0.0821477742083524,0.0330426801284993,0.0587425424506654,0.2918770078017439,0.1101422670949977,0.0137677833868747,0.3198715006883891,0.0422212023864157,0.0481872418540614,6.34,-15.98,4.54,5.27,7.8,7.4,75.9,91.1,8.9,0.0,1070000000.0,5350000.0,1070000000.0,0.96,0.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
S19S_0006-U,-76.717476,39.311813,,,25.7,7.5,17.0,1.0,1.0,2.0,0.0736338490522501,0.1750773167234935,6.5137299771167045,-1.113272311212815,76.07242989001448,-0.5534185926304347,76.07242988991122,-146.06368380156076,0.0555085778755948,0.0492614436643339,1471.3726544622425,-2773.3498728302143,2622.0,1.8395447217234124,1.7404126771557713,0.0655987795575896,0.028604118993135,0.062929061784897,0.3196033562166285,0.1228070175438596,0.0091533180778032,0.3085430968726163,0.0549199084668192,0.0278413424866514,6.68,-16.7,5.62,9.24,15.6,56.2,18.6,90.4,9.6,0.0,1320000000.0,37600000.0,1280000000.0,0.86,0.14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
S19S_0007-D,-119.195598,37.05255,,,11.2,6.5,4.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.32,-27.68,15.08,69.56,20.1,23.0,45.9,89.0,11.0,0.0,1680000000.0,86600000.0,1590000000.0,1.17,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
S19S_0007-U,-119.195359,37.05229,,,11.2,6.5,3.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.93,-27.77,16.49,,22.2,31.4,37.5,91.1,8.9,0.0,5740000000.0,129000000.0,5610000000.0,1.32,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
S19S_0007-U,-119.195359,37.05229,,,11.2,6.5,3.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.93,-27.77,21.02,,22.2,31.4,37.5,91.1,8.9,0.0,5740000000.0,129000000.0,5610000000.0,1.32,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
S19S_0008-D,-119.027785,36.961112,4.62,41.1,12.6,6.5,12.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,-25.88,18.12,21.39,7.6,14.2,74.2,96.0,4.0,0.0,3710000000.0,47200000.0,3660000000.0,0.27,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
S19S_0008-D,-119.027785,36.961112,4.62,41.1,12.6,6.5,12.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,-25.88,18.12,21.39,7.6,14.2,74.2,96.0,4.0,0.0,3710000000.0,47200000.0,3660000000.0,0.27,0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
S19S_0008-M,-119.028281,36.961369,4.62,41.1,12.6,6.5,22.0,2.0,2.0,1.0,0.0567056214085457,0.139325841233883,5.756371814092954,-1.5599700149925038,79.33571907738381,-0.667919967631934,79.33571907735326,-147.86819581812205,0.0530598928591063,0.0470950996152545,1490.0424287856072,-2743.0283391707017,1334.0,2.131393773713884,1.9217955570793777,0.0652173913043478,0.0194902548725637,0.0464767616191904,0.2646176911544228,0.1649175412293853,0.0224887556221889,0.3553223388305847,0.047976011994003,0.0134932533733133,3.73,-28.99,12.96,30.38,6.9,9.5,78.5,94.9,5.1,0.0,334000000.0,55700000.0,278000000.0,0.28,0.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
S19S_0008-U,-119.028254,36.961273,4.62,41.1,12.6,6.5,6.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-26.72,37.33,95.44,9.8,23.5,60.2,93.5,6.5,0.0,262000000.0,62200000.0,199000000.0,0.46,0.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
