RA_cms_cyr,RA_cms_cmn,RA_cms_cmx,RA_SO,RA_dm,RA_lm,RA_xam2,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav
0.549,0.06,1.731,2,0.394221,1.45,1.55241,68,0,877,717,168,172,85,208,65,372,58,601,322,56,435,-62,176,-31,18,60,23,73,56,2,1,33,45,0,0,0,0,0,0,0,0,19,18,43,43,38,39,42,57,39,50,58,0,0,1623,1382,0.0,0.003,0.0,0.016,0,0,0,0,102,58,92,36,0.055867,0.050718,948
0.549,0.06,1.731,2,0.394221,1.45,1.55241,68,0,877,717,168,172,85,208,65,372,58,601,322,56,435,-62,176,-31,18,60,23,73,56,2,1,33,45,0,0,0,0,0,0,0,0,19,18,43,43,38,39,42,57,39,50,58,0,0,1623,1382,0.0,0.003,0.0,0.016,0,0,0,0,102,58,92,36,0.055867,0.050718,948
0.549,0.06,1.731,2,0.394221,1.45,1.55241,68,0,877,717,168,172,85,208,65,372,58,601,322,56,435,-62,176,-31,18,60,23,73,56,2,1,33,45,0,0,0,0,0,0,0,0,19,18,43,43,38,39,42,57,39,50,58,0,0,1623,1382,0.0,0.003,0.0,0.016,0,0,0,0,102,58,92,36,0.055867,0.050718,948
0.705,0.073,2.289,2,0.412787,2.05,2.01561,69,0,903,622,120,131,88,211,67,339,52,561,292,51,421,-66,174,-36,7,37,21,0,51,4,2,91,47,0,0,0,0,0,0,0,0,22,18,42,43,37,39,26,51,34,45,56,0,0,1546,1441,0.0,0.003,0.0,0.012,0,0,0,0,170,64,80,38,0.055867,0.050718,948
0.705,0.073,2.289,2,0.412787,2.05,2.01561,69,0,903,622,120,131,88,211,67,339,52,561,292,51,421,-66,174,-36,7,37,21,0,51,4,2,91,47,0,0,0,0,0,0,0,0,22,18,42,43,37,39,26,51,34,45,56,0,0,1546,1441,0.0,0.003,0.0,0.012,0,0,0,0,170,64,80,38,0.055867,0.050718,948
0.705,0.073,2.289,2,0.412787,2.05,2.01561,69,0,903,622,120,131,88,211,67,339,52,561,292,51,421,-66,174,-36,7,37,21,0,51,4,2,91,47,0,0,0,0,0,0,0,0,22,18,42,43,37,39,26,51,34,45,56,0,0,1546,1441,0.0,0.003,0.0,0.012,0,0,0,0,170,64,80,38,0.055867,0.050718,948
0.881,0.102,2.686,2,0.441065,5.06,2.29249,71,0,547,444,66,115,97,220,70,262,39,561,228,40,397,-75,168,-36,4,26,20,0,34,4,3,96,77,0,0,0,0,0,0,0,0,20,18,40,42,40,41,19,50,25,34,53,0,0,958,780,0.0,0.0,0.0,0.001,0,0,0,0,92,16,61,36,0.055867,0.003881,948
0.881,0.102,2.686,2,0.441065,5.06,2.29249,71,0,547,444,66,115,97,220,70,262,39,561,228,40,397,-75,168,-36,4,26,20,0,34,4,3,96,77,0,0,0,0,0,0,0,0,20,18,40,42,40,41,19,50,25,34,53,0,0,958,780,0.0,0.0,0.0,0.001,0,0,0,0,92,16,61,36,0.055867,0.003881,948
0.881,0.102,2.686,2,0.441065,5.06,2.29249,71,0,547,444,66,115,97,220,70,262,39,561,228,40,397,-75,168,-36,4,26,20,0,34,4,3,96,77,0,0,0,0,0,0,0,0,20,18,40,42,40,41,19,50,25,34,53,0,0,958,780,0.0,0.0,0.0,0.001,0,0,0,0,92,16,61,36,0.055867,0.003881,948
1.336,0.264,3.182,2,0.354995,14.45,2.55031,232,0,570,887,90,194,65,202,51,552,87,940,428,73,472,-37,182,5,16,73,28,36,52,6,3,94,77,3,1,0,0,0,0,0,0,20,13,43,43,38,44,35,68,57,66,70,0,0,1714,4833,0.037,0.038,0.564,0.248,0,0,582,300,23,9,67,59,0.055867,0.457316,948
