File_Name,File_Description,Standard,Date_Start,Date_End,Missing_Value_Codes,File_Path
readme_sl_archive_whondrs.pdf,Data package level readme. Contains data package summary; acknowledgements; and contact information.,N/A,-9999,-9999,N/A,/sl_archive_whondrs
sl_archive_whondrs_dd.csv,Data dictionary that defines columns headers across all comma-separated values (CSV) files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs
sl_archive_whondrs_flmd.csv,File-level metadata that lists and describes all of the files contained in the data package.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021); ESS-DIVE Reporting Format for File-level Metadata (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs
fig_gmt_plot.sh,Wrapper script that launches container for using the Generic Mapping Tools and executes plotting script in container.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
fig*.pdf,Figure created by corresponding plotting notebook or script. The asterisk (*) indicates the figure number followed by a brief description of the figure.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
fig*.sh,Figure plotting script for Bash shell that plots the corresponding figure. Many scripts here use the Generic Mapping Tools (GMT) and as long as Docker is installed; you can launch these scripts with the fig_gmt_plot.sh wrapper. The asterisk (*) indicates the figure number followed by a brief description of the figure.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
fig*.ipynb,Figure plotting Jupyter notebook or very last stages data post-processing notebook to create intermediate results for corresponding figure. The asterisk (*) indicates the figure number followed by a brief description of the figure.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
fig*.yaml.gz,YAML format Conda environment definition file for reconstructing Conda environment and Python packages used for the corresponding figure generation/postprocessing notebooks. This file is compressed (i.e. a binary) to avoid GitHub printing security warnings in case there are old packages. The asterisk (*) indicates the figure number followed by a brief description of the figure.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
grdb_*_predictions.csv.gz,Compressed comma-separated values (CSV) file containing predictions at all RiverAtlas segments in the 7411 and 7412 Marsden square tiles. The asterisk (*) indicates which machine learning (ML) model in the branch. This file is compressed due to its large size and stored as an important intermediate result because these predictions take more than 45GB of RAM and 10 minutes to run.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
grdb_step_03b_output_RiverATLAS_v10_na.xyz.7411.csv.gz,Compressed GMT .xyz segment delimited file for the RiverAtlas data in the 7411 Marsden Square. This file is compressed due to its large size.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
grdb_step_03b_output_RiverATLAS_v10_na.xyz.7412.csv.gz,Compressed GMT .xyz segment delimited file for the RiverAtlas data in the 7412 Marsden Square. This file is compressed due to its large size.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
o2sat.py,Python script implementing a simple last-ditch attempt to recover missing oxygen values by converting dissolved oxygen (O2) to dissolved oxygen percent saturation (O2%sat) or O2%sat to O2.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
README.md,Instructions for how to use the plotting scripts/notebooks.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
table01_*.csv,Table for manuscript created by fig04-05-06-machine learning (ML)-results.ipynb using the data dictionaries in the same directory. Feature permutation index (FPI) importance scores are from the feature permutation index (FPI) results from the machine learning (ML) model from the branch name that is indicated by the asterisk (*).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs/examples
RiverAtlas_dd.csv,Data dictionary that defines columns headers across all comma-separated values (CSV) files from RiverAtlas data.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs/examples
RiverAtlas_GLORICH (GLObal RIver Chemistry Database)_colocated_for_prediction.csv,RiverAtlas data at GLORICH (GLObal RIver Chemistry Database) sites along with limited GLORICH insitu chemistry data for making predictions at all GLORICH sites.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs/examples
RiverAtlas_GLORICH (GLObal RIver Chemistry Database)_*_predictions.csv,Machine learning (ML) model predictions at the GLORICH (GLObal RIver Chemistry Database) sites using RiverAtlas and GLORICH data. The asterisk (*) indicates the machine learning (ML) model in the branch.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs/examples
top_20_vars_in_*.txt,List of the top features/variables resulting from the feature permutation index (FPI) analysis. The asterisk (*) indicates the machine learning (ML) model in the branch.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/examples
WHONDRS_S19S_colocated_for_verification.csv,RiverAtlas data at WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems) sites long with limited WHONDRS site metadata for cross checking that the data colocation process works as expected for variables that overlap between the two data sets.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs/examples
WHONDRS_*_predictions.csv,Predictions of respiration rate at the WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems) sites made with the machine learning (ML) model ensemble. The asterisk (*) indicates the branch.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs/examples
WHONDRS_S19S_SSS_merged.csv,WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems) data in machine learning (ML)-ready format (i.e. unranked classes converted to 1hot data; ranked classes converted to integer scale; all features/inputs merged by Sample_ID).,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2022-09-01,N/A; -9999,/sl_archive_whondrs/examples
WHONDRS_v3_CM_SSS_dd.csv,Data dictionary that defines columns headers across all comma-separated values (CSV) files contained in the published CM data package with the addition of WHONDRS (Worldwide Hydrobiogeochemistry Observation Network for Dynamic River Systems) Fourier-transform ion cyclotron resonance (FTICR) data dictionary entries and custom machine learning (ML) model features created by the code in this repository.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs/examples
WHONDRS_Data.csv,Main input file for machine learning (ML) workflow. In some cases this file is identical to WHONDRS_S19S_SSS_merged.csv.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2019-07-29, 2022-09-01,N/A; -9999,/sl_archive_whondrs/input_data
classical-metrics.json,Model score calculated with the TRAINING data (not the holdout or testing data) from the 0th SuperLearner (SL) ensemble member.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/ml_models/sl_0
fpi.std.err,Standard error log file for feature permutation index (FPI) stage of workflow from the 0th SuperLearner (SL) ensemble member.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/ml_models/sl_0
fpi.std.out,Standard output log file for the feature permutation index (FPI) stage of workflow from the 0th SuperLearner (SL) ensemble member.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/ml_models/sl_0
hold-out-metrics.json,Model score calculated with the TEST data (the holdout data) from the 0th SuperLearner (SL) ensemble member.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/ml_models/sl_0
hold-out-metrics-high-low-split.json,Model score calculated with the TEST data but separated the score calculation with high and low respiration rates from the 0th SuperLearner (SL) ensemble member.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/ml_models/sl_0
model_fpi_results_df,Pandas DataFrame written directly to default Pandas comma-separated values (CSV) format for full access to feature permutation index (FPI) results from each separate submodel of this machine learning (ML) model from the 0th SuperLearner (SL) ensemble member.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/ml_models/sl_0
original_input_data.csv,Copy of the training data supplied at the beginning of the machine learning (ML) workflow for traceability purposes from the 0th SuperLearner (SL) ensemble member.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/sl_archive_whondrs/ml_models/sl_0
pca.std.err,Non-dimensional index equally weighting the estimated prediction error in the machine learning (machine learning (ML) model and how different that site is from the other available sites to sample as determined by principle component analysis (PCA).,N/A,-9999,-9999,N/A,/sl_archive_whondrs/ml_models/sl_0
pca.std.out,Standard output log file for the principle component analysis (PCA) (error) stage of the machine learning (ML) workflow from the 0th SuperLearner (SL) ensemble member.,N/A,-9999,-9999,N/A,/sl_archive_whondrs/ml_models/sl_0
